https://schema.org/identifier,https://schema.org/name,https://schema.org/alternateName,https://schema.org/jobTitle,https://schema.org/jobTitle,https://schema.org/jobTitle,https://schema.org/image,https://schema.org/knowsAbout,https://schema.org/knowsAbout,https://schema.org/knowsAbout,https://schema.org/publishingPrinciples,https://schema.org/isBasedOnUrl
15,板倉 陽一郎,いたくら よういちろう,地域情報化アドバイザー,ひかり総合法律事務所 パートナー弁護士,理化学研究所革新知能統合研究センター 客員主管研究員,https://code4sabae.github.io/ictadvisors/img/2021/AD015.jpg,個人情報保護,マイナンバー,ＡＩ活用,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/015_2021adviser.pdf,https://www.applic.or.jp/page-1862/
16,市川 博之,いちかわ ひろゆき,地域情報化アドバイザー,一般社団法人シビックテック・ラボ 代表理事,東京造形大学 特任教授,https://code4sabae.github.io/ictadvisors/img/2021/AD016.jpg,働き方,スマートシティ,人材の育成・活用,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/016_2021adviser.pdf,https://www.applic.or.jp/page-1862/
17,市瀬 英夫,いちのせ ひでお,地域情報化アドバイザー,元静岡県 CIO補佐官,デル・テクノロジーズ株式会社 CTOオフィス ディレクター（公共担当）,https://code4sabae.github.io/ictadvisors/img/2021/AD017.jpg,自治体システム／セキュリティ／地域情報プラットフォーム,自治体システムの標準化・共通化,地域情報化計画・官民データ計画,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/017_2021adviser.pdf,https://www.applic.or.jp/page-1862/
18,一橋 基,いちはし もとい,地域情報化アドバイザー,札幌市総務局 デジタル推進担当局長,,https://code4sabae.github.io/ictadvisors/img/2021/AD018.jpg,オープンデータ,スマートシティ,マイナンバー,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/018_2021adviser.pdf,https://www.applic.or.jp/page-1862/
19,市原 敬,いちはら たかし,地域情報化アドバイザー,神奈川県 デジタル戦略本部室長,総務局デジタル戦略本部室 CIO補佐官・CDO補佐官,https://code4sabae.github.io/ictadvisors/img/2021/AD019.jpg,テレワーク,働き方,自治体システム／セキュリティ／地域情報プラットフォーム,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/019_2021adviser.pdf,https://www.applic.or.jp/page-1862/
20,伊藤 文徳,いとう ふみのり,地域情報化アドバイザー,会津若松市役所企画政策部秘書広聴課 副主幹,庁内統合ＧＩＳ活用検討チーム座長,https://code4sabae.github.io/ictadvisors/img/2021/AD020.jpg,ＥＢＰＭ（エビデンスに基づく政策立案）,オープンデータ,自治体システム／セキュリティ／地域情報プラットフォーム,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/020_2021adviser.pdf,https://www.applic.or.jp/page-1862/
21,伊藤 昌毅,いとう まさき,地域情報化アドバイザー,東京大学 生産技術研究所 特任講師,標準的なバス情報フォーマット広め隊,https://code4sabae.github.io/ictadvisors/img/2021/AD021.jpg,オープンデータ,スマートシティ,ＥＢＰＭ（エビデンスに基づく政策立案）,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/021_2021adviser.pdf,https://www.applic.or.jp/page-1862/
22,井上 あい子,いのうえ あいこ,地域情報化アドバイザー,ａｉ株式会社 代表取締役,総務省地域力創造アドバイザー,https://code4sabae.github.io/ictadvisors/img/2021/AD022.jpg,ネットワークインフラ（Ｗｉ-Ｆｉ／ＬＰＷＡ／光ネットワーク）,人材の育成・活用,防災,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/022_2021adviser.pdf,https://www.applic.or.jp/page-1862/
23,井上 泰一,いのうえ たいいち,地域情報化アドバイザー,株式会社野村総合研究所 コンサルティング事業本部 プリンシパル,,https://code4sabae.github.io/ictadvisors/img/2021/AD023.jpg,人材の育成・活用,スマートシティ,地域情報化計画・官民データ計画,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/023_2021adviser.pdf,https://www.applic.or.jp/page-1862/
24,井上 英幸,いのうえ ひでゆき,地域情報化アドバイザー,一般社団法人 九州テレコム振興センター 主席研究員,宮崎県 （参与）デジタル化戦略アドバイザー,https://code4sabae.github.io/ictadvisors/img/2021/AD024.jpg,地域情報化計画・官民データ計画,オープンデータ,自治体システム／セキュリティ／地域情報プラットフォーム,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/024_2021adviser.pdf,https://www.applic.or.jp/page-1862/
25,今井 建彦,いまい たけひこ,地域情報化アドバイザー,元仙台市情報政策部長,学校法人宮城学院 ファシリティアドバイザー,https://code4sabae.github.io/ictadvisors/img/2021/AD025.jpg,防災,地域情報化計画・官民データ計画,自治体システム／セキュリティ／地域情報プラットフォーム,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/025_2021adviser.pdf,https://www.applic.or.jp/page-1862/
26,岩瀬 義和,いわせ よしかず,地域情報化アドバイザー,株式会社デジコンキューブ 代表取締役社長,山形県デジタルコンテンツ協議会 事務局,https://code4sabae.github.io/ictadvisors/img/2021/AD026.jpg,地域ビジネス,教育情報化／情報教育,テレワーク,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/026_2021adviser.pdf,https://www.applic.or.jp/page-1862/
27,岩浪 剛太,いわなみ ごうた,地域情報化アドバイザー,株式会社インフォシティ 代表取締役,第５世代モバイル推進フォーラム（5GMF） アプリケーション委員会 委員長,https://code4sabae.github.io/ictadvisors/img/2021/AD027.jpg,５Ｇ,スマートシティ,デジタルアーカイブ／図書館,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/027_2021adviser.pdf,https://www.applic.or.jp/page-1862/
28,鵜澤 純子,うざわ じゅんこ,地域情報化アドバイザー,株式会社テレワークマネジメント マネージャー,ＩＴコーディネータ、総務省テレワークマネージャー,https://code4sabae.github.io/ictadvisors/img/2021/AD028.jpg,テレワーク,働き方,,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/028_2021adviser.pdf,https://www.applic.or.jp/page-1862/
